datetime,temp_2m,pm10,no2,co,o3
2018-01-26 03:00:00,277.65186,4.51529e-08,2.9390282e-08,4.6221655e-07,8.122729e-10
2018-01-26 06:00:00,277.92285,4.412954e-08,2.8681928e-08,4.6422215e-07,8.0385665e-10
2018-01-26 09:00:00,278.1997,4.190659e-08,2.2713749e-08,4.4701022e-07,7.135729e-09
2018-01-26 12:00:00,279.198,3.32691e-08,1.6770082e-08,3.7372558e-07,1.5202712e-08
2018-01-26 15:00:00,279.20557,3.2986133e-08,1.930678e-08,3.7045055e-07,1.3574815e-08
2018-01-26 18:00:00,278.50464,3.406854e-08,2.5009495e-08,4.0096558e-07,3.8252623e-09
2018-01-26 21:00:00,278.57153,3.690897e-08,2.8623184e-08,4.2817993e-07,1.2123375e-09
2018-01-27 00:00:00,278.11816,2.9244166e-08,2.8575572e-08,3.583697e-07,8.3629885e-09
2018-01-27 03:00:00,278.20825,3.3034482e-08,3.1256413e-08,3.7715137e-07,4.7343156e-09
2018-01-27 06:00:00,278.23535,3.609835e-08,3.0633576e-08,3.9959116e-07,2.537007e-09
2018-01-27 09:00:00,278.19238,3.9429448e-08,2.320969e-08,4.2602224e-07,5.7810285e-09
2018-01-27 12:00:00,280.5603,2.6363722e-08,1.7447167e-08,2.6399033e-07,3.1784747e-08
2018-01-27 15:00:00,281.3623,2.5365331e-08,1.7071962e-08,2.5950754e-07,2.4335822e-08
2018-01-27 18:00:00,277.37085,4.0670397e-08,2.3826873e-08,3.8827358e-07,2.3373692e-09
2018-01-27 21:00:00,276.32446,5.0747474e-08,2.513456e-08,5.101025e-07,1.626797e-10
2018-01-28 00:00:00,275.7766,5.2154856e-08,2.8788444e-08,5.2053707e-07,3.4326286e-10
2018-01-28 03:00:00,274.90967,5.1115915e-08,2.9140642e-08,6.0000315e-07,1.1562563e-09
2018-01-28 06:00:00,274.15112,5.4817015e-08,2.7838162e-08,6.540306e-07,1.7829737e-09
2018-01-28 09:00:00,277.5161,4.481237e-08,2.2199298e-08,5.4152895e-07,9.922256e-09
2018-01-28 12:00:00,281.91284,3.1989263e-08,1.517936e-08,3.6597424e-07,3.040369e-08
2018-01-28 15:00:00,283.3042,2.9146197e-08,1.7045377e-08,3.2578183e-07,3.0319704e-08
2018-01-28 18:00:00,278.07227,4.336862e-08,2.4326232e-08,4.2241882e-07,3.4452776e-09
2018-01-28 21:00:00,275.55835,5.1792544e-08,2.3810417e-08,5.079533e-07,8.7720853e-10
2018-01-29 00:00:00,275.3335,4.6516544e-08,2.432822e-08,4.879791e-07,3.8859604e-09
2018-01-29 03:00:00,275.0769,4.8427932e-08,2.4515476e-08,5.334283e-07,3.5922143e-09
2018-01-29 06:00:00,274.74854,5.1343445e-08,2.4200865e-08,5.8705126e-07,1.8822373e-09
2018-01-29 09:00:00,277.4817,4.6245184e-08,1.9321286e-08,5.5217754e-07,9.660245e-09
2018-01-29 12:00:00,281.45337,2.2598027e-08,1.8030782e-08,3.3608575e-07,3.3100015e-08
2018-01-29 15:00:00,283.15137,2.0148537e-08,1.7851159e-08,2.8422926e-07,3.0756873e-08
2018-01-29 18:00:00,277.97192,3.488276e-08,2.7036064e-08,3.6231447e-07,4.238491e-09
2018-01-29 21:00:00,276.61035,4.1771223e-08,2.8391785e-08,4.231741e-07,1.4216918e-09
2018-01-30 00:00:00,275.43018,3.8106606e-08,3.2413517e-08,3.9726882e-07,1.0326561e-09
2018-01-30 03:00:00,274.95435,3.7526583e-08,3.225784e-08,3.984101e-07,1.3450968e-09
2018-01-30 06:00:00,274.88306,3.611801e-08,2.894997e-08,3.9159465e-07,2.1606958e-09
2018-01-30 09:00:00,277.56958,3.2684802e-08,1.8086183e-08,3.5890295e-07,1.2629174e-08
2018-01-30 12:00:00,281.24072,2.4420562e-08,1.5508427e-08,2.7017995e-07,3.0230925e-08
2018-01-30 15:00:00,281.45508,1.9009935e-08,1.34957485e-08,2.3767466e-07,3.3650494e-08
2018-01-30 18:00:00,278.70752,2.9915086e-08,2.5096483e-08,3.2033654e-07,6.509342e-09
